interaction_id,source_id,ReportedCommonName,ReportedScientificName,method,ScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,life-stage
int_694,Alexander et al. 1994,Western red-backed vole,Clethrionomys californicus,scat,Myodes californicus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,Myodes californicus,
int_254,Alexander et al. 1994,Dusky-footed woodrat,Neotoma fuscipes,scat,Neotoma fuscipes,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricitidae,Neotoma,Neotoma fuscipes,
int_0011,Alexander et al. 1994,American shrew mole,Neurotrichus gibbsii,scat,Neurotrichus gibbsii,ITIS,species,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Neurotrichus,Neurotrichus gibbsii,
int_563,Alexander et al. 1994,Sap beetle,Nitidulidae,scat,Nitidulidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,x,x,
int_653,Alexander et al. 1994,tiger beetle,Omus,scat,Omus,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Omus,x,
int_357,Alexander et al. 1994,Harvestmen,Opilionida,scat,Opiliones,ITIS,order,Animalia,Arthropoda,Arachnida,Opiliones,x,x,x,
int_464,Alexander et al. 1994,North American deermouse,Peromyscus maniculatus,scat,Peromyscus maniculatus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,
int_543,Alexander et al. 1994,Red tree vole,Phenacomys longicaudus,scat,Phenacomys longicaudus,Unresolved,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phenacomys,Phenacomys longicaudus,
int_534,Alexander et al. 1994,Rain beetles,Pleocoma,scat,Pleocoma,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Pleocomidae,Pleocoma,,
int_305,Alexander et al. 1994,Grass,n/a,scat,Poaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,x,x,
int_518,Alexander et al. 1994,Porella,Porella,scat,Porella,ITIS,genus,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Porellaceae,Porella,x,
int_727,Alexander et al. 1994,n/a,n/a,scat,Pristoceuthophilus,ITIS,genus,Animalia,Arthropoda,Insecta,Orthoptera,Rhaphidophoridae,Pristoceuthophilus,x,
int_252,Alexander et al. 1994,Douglas fir,Pseudotsuga menziesii,scat,Pseudotsuga menziesii,ITIS,species,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaecae,Pseudotsuga,Pseudotsuga menziesii,
int_337,Alexander et al. 1994,Ground beetle,Pterostichus,scat,Pterostichus,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,x,
int_091,Alexander et al. 1994,Blackberry,Rubus,scat,Rubus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,x,
int_049,Alexander et al. 1994,Beetle,Scaphinotus,scat,Scaphinotus,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Scaphinotus,,
int_571,Alexander et al. 1994,Scarabs,Scarabaeidae spp.,scat,Scarabaeidae,ITIS,family,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,x,x,
int_631,Alexander et al. 1994,Stag beetles,Sinodendron,scat,Sinodendron,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Sinodendron,x,
