interaction_id,source_id,pop_id,ReportedCommonName,ReportedScientificName,method,count_sample,count_dietitems,percent_FO,percent_relativeFO,percent_weight,percent_volume,via,percent_IV,HarmonizedScientificName,study_specificity,life-stage,winter,spring,summer,autumn,location_of_interaction,notes
int_1261,Calderón Vega 2002,Calderón Vega 2002b,n/a,Petrosaurus thalassinus,scat,5,,4.20,1.26,n/a,n/a,,n/a,Petrosaurus thalassinus,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_0164,Calderón Vega 2002,Calderón Vega 2002a,n/a,Phalacrocarax sp. ,scat,1,,0.12,0.03,n/a,n/a,,n/a,Phalacrocorax,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1254,Calderón Vega 2002,Calderón Vega 2002b,n/a,Phalacrocarax sp. ,scat,3,,2.10,0.76,n/a,n/a,,n/a,Phalacrocorax,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_0158,Calderón Vega 2002,Calderón Vega 2002a,n/a,Orthoptera Phasmatidae,scat,114,,13.72,3.78,n/a,n/a,,n/a,Phasmatidae,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1281,Calderón Vega 2002,Calderón Vega 2002b,n/a,Orthoptera Phasmatidae,scat,27,,18.88,6.80,n/a,n/a,,n/a,Phasmatidae,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_0165,Calderón Vega 2002,Calderón Vega 2002a,n/a,Phorandendron diguetianum,scat,n/a,,1.81,n/a,n/a,n/a,,n/a,Phorandendron diguetianum,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1302,Calderón Vega 2002,Calderón Vega 2002b,n/a,Phorandendron diguetianum,scat,n/a,,11.89,n/a,n/a,n/a,,n/a,Phorandendron diguetianum,unique,not described,,,,,Tabla 5 FO,calculated and rounded to two decimal points
int_0166,Calderón Vega 2002,Calderón Vega 2002a,n/a,Picoides scalaris,scat,2,,0.24,0.07,n/a,n/a,,n/a,Plantae,elevated,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_0167,Calderón Vega 2002,Calderón Vega 2002a,Especie A,Plantas,scat,n/a,,0.60,n/a,n/a,n/a,,n/a,Plantae,elevated,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_0168,Calderón Vega 2002,Calderón Vega 2002a,Especie B,Plantas,scat,n/a,,0.60,n/a,n/a,n/a,,n/a,Plantae,elevated,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_0169,Calderón Vega 2002,Calderón Vega 2002a,Especie D,Plantas,scat,n/a,,0.72,n/a,n/a,n/a,,n/a,Plantae,elevated,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_0170,Calderón Vega 2002,Calderón Vega 2002a,Especie E,Plantas,scat,n/a,,1.56,n/a,n/a,n/a,,n/a,Plantae,elevated,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_0171,Calderón Vega 2002,Calderón Vega 2002a,sin identifcado,Plantas,scat,n/a,,3.73,n/a,n/a,n/a,,n/a,Plantae,elevated,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_0188,Calderón Vega 2002,Calderón Vega 2002b,Especie B,Plantas,scat,n/a,,0.70,n/a,n/a,n/a,,n/a,Plantae,elevated,not described,,,,,Tabla 5 FO,calculated and rounded to two decimal points
int_0189,Calderón Vega 2002,Calderón Vega 2002b,Especie D,Plantas,scat,n/a,,7.69,n/a,n/a,n/a,,n/a,Plantae,elevated,not described,,,,,Tabla 5 FO,calculated and rounded to two decimal points
int_0190,Calderón Vega 2002,Calderón Vega 2002b,Especie E,Plantas,scat,n/a,,2.80,n/a,n/a,n/a,,n/a,Plantae,elevated,not described,,,,,Tabla 5 FO,calculated and rounded to two decimal points
int_0172,Calderón Vega 2002,Calderón Vega 2002a,plastico,n/a,scat,n/a,,0.24,n/a,n/a,n/a,,n/a,Plastic,unique,n/a,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_0173,Calderón Vega 2002,Calderón Vega 2002a,Black-necked grebe,Podiceps nigricallis,scat,1,,0.12,0.03,n/a,n/a,,n/a,Podiceps nigricollis,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_0174,Calderón Vega 2002,Calderón Vega 2002a,Pied-billed grebe,Podilymbus podiceps,scat,7,,0.84,0.23,n/a,n/a,,n/a,Podilymbus podiceps,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1253,Calderón Vega 2002,Calderón Vega 2002b,n/a,Podilymbus podiceps,scat,1,,0.70,0.25,n/a,n/a,,n/a,Podilymbus podiceps,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_0094,Calderón Vega 2002,Calderón Vega 2002a,n/a,Randia megacarpa,scat,n/a,,7.22,n/a,n/a,n/a,,n/a,Randia megacarpa,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_0175,Calderón Vega 2002,Calderón Vega 2002b,n/a,Randia megacarpa,scat,n/a,,11.89,n/a,n/a,n/a,,n/a,Randia megacarpa,unique,not described,,,,,Tabla 5 FO,calculated and rounded to two decimal points
int_0176,Calderón Vega 2002,Calderón Vega 2002a,American avocet,Recuvirostra americana,scat,1,,0.12,0.03,n/a,n/a,,n/a,Recurvirostra americana,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_0177,Calderón Vega 2002,Calderón Vega 2002a,no identificados,Reptiles,scat,4,,0.60,0.13,n/a,n/a,,n/a,Reptilia,elevated,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1267,Calderón Vega 2002,Calderón Vega 2002b,no identificados,Reptiles,scat,1,,0.70,0.25,n/a,n/a,,n/a,Reptilia,elevated,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_0178,Calderón Vega 2002,Calderón Vega 2002a,Common chuckwalla,Sauromalus ater,scat,18,,1.93,0.60,n/a,n/a,,n/a,Sauromalus ater,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1262,Calderón Vega 2002,Calderón Vega 2002b,n/a,Sauromalus ater,scat,4,,2.80,1.01,n/a,n/a,,n/a,Sauromalus ater,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_0120,Calderón Vega 2002,Calderón Vega 2002a,Scarab beetle,Coleoptera Scarabeidae,scat,91,,5.54,3.02,n/a,n/a,,n/a,Scarabeidae,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1287,Calderón Vega 2002,Calderón Vega 2002b,n/a,Coleoptera Scarabeidae,scat,34,,9.09,8.56,n/a,n/a,,n/a,Scarabeidae,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_0179,Calderón Vega 2002,Calderón Vega 2002a,Spiny lizard,Sceloporus spp.,scat,51,,6.26,1.69,n/a,n/a,,n/a,Sceloporus,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1263,Calderón Vega 2002,Calderón Vega 2002b,n/a,Sceloporus sp.,scat,6,,4.20,1.51,n/a,n/a,,n/a,Sceloporus,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_0180,Calderón Vega 2002,Calderón Vega 2002a,n/a,Scorpiones,scat,282,,29.24,9.36,n/a,n/a,,n/a,Scorpiones,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1269,Calderón Vega 2002,Calderón Vega 2002b,n/a,Scorpiones,scat,41,,22.38,10.33,n/a,n/a,,n/a,Scorpiones,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_0181,Calderón Vega 2002,Calderón Vega 2002a,n/a,Solanaceae,scat,n/a,,0.48,n/a,n/a,n/a,,n/a,Solanaceae,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_0187,Calderón Vega 2002,Calderón Vega 2002b,n/a,Solanaceae,scat,n/a,,0.70,n/a,n/a,n/a,,n/a,Solanaceae,unique,not described,,,,,Tabla 5 FO,calculated and rounded to two decimal points
int_0182,Calderón Vega 2002,Calderón Vega 2002a,n/a,Solifugae,scat,11,,1.32,0.36,n/a,n/a,,n/a,Solifugae,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1273,Calderón Vega 2002,Calderón Vega 2002b,n/a,Solifugae,scat,4,,2.80,1.01,n/a,n/a,,n/a,Solifugae,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_0138,Calderón Vega 2002,Calderón Vega 2002a,n/a,Hymenoptera Sphecidae,scat,8,,0.96,0.27,n/a,n/a,,n/a,Sphecidae,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1293,Calderón Vega 2002,Calderón Vega 2002b,n/a,Hymenoptera Sphecidae,scat,1,,0.70,0.25,n/a,n/a,,n/a,Sphecidae,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_0183,Calderón Vega 2002,Calderón Vega 2002a,n/a,Stenocereus gummosus,scat,n/a,,8.18,n/a,n/a,n/a,,n/a,Stenocereus gummosus,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1299,Calderón Vega 2002,Calderón Vega 2002b,n/a,Stenocereus gummosus,scat,n/a,,8.39,n/a,n/a,n/a,,n/a,Stenocereus gummosus,unique,not described,,,,,Tabla 5 FO,calculated and rounded to two decimal points
int_0184,Calderón Vega 2002,Calderón Vega 2002a,n/a,Stenocerus thurberi,scat,n/a,,0.12,n/a,n/a,n/a,,n/a,Stenocerus thurberi,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1300,Calderón Vega 2002,Calderón Vega 2002b,n/a,Stenocerus thurberi,scat,n/a,,0.70,n/a,n/a,n/a,,n/a,Stenocerus thurberi,unique,not described,,,,,Tabla 5 FO,calculated and rounded to two decimal points
int_0185,Calderón Vega 2002,Calderón Vega 2002a,n/a,Telostei,scat,16,,2.29,1.37,n/a,n/a,,n/a,Teleostei,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1268,Calderón Vega 2002,Calderón Vega 2002b,n/a,Telostei,scat,1,,0.70,0.25,n/a,n/a,,n/a,Teleostei,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_0121,Calderón Vega 2002,Calderón Vega 2002a,Darkling beetle,Coleoptera Tenebrionidae,scat,489,,41.75,16.22,n/a,n/a,,n/a,Tenebrionidae,unique,not described,yes,yes,yes,yes,Tabla 4 FO; Tabla 6 FR; Apendice 4; Page 120,calculated and rounded to two decimal points
int_0122,Calderón Vega 2002,Calderón Vega 2002a,Darkling beetle,Coleoptera Tenebrionidae,scat,303,,3.01,10.10,n/a,n/a,,n/a,Tenebrionidae,fine scale context,larva,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1288,Calderón Vega 2002,Calderón Vega 2002b,n/a,Coleoptera Tenebrionidae,scat,49,,20.98,12.34,n/a,n/a,,n/a,Tenebrionidae,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_0159,Calderón Vega 2002,Calderón Vega 2002a,Long-horned grasshoppers,Orthoptera Tettigonidae,scat,51,,6.26,1.69,n/a,n/a,,n/a,Tettigoniidae,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1278,Calderón Vega 2002,Calderón Vega 2002b,n/a,Orthoptera Tettigonidae,scat,6,,4.20,1.51,n/a,n/a,,n/a,Tettigoniidae,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_0101,Calderón Vega 2002,Calderón Vega 2002a,Tarantula,Theraphosidae,scat,10,,1.20,0.33,n/a,n/a,,n/a,Theraphosidae,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1271,Calderón Vega 2002,Calderón Vega 2002b,n/a,Therophosidae,scat,2,,1.40,0.50,n/a,n/a,,n/a,Theraphosidae,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_0186,Calderón Vega 2002,Calderón Vega 2002a,n/a,Toxostama lecontes ,scat,1,,0.36,0.03,n/a,n/a,,n/a,Toxostoma lecontei,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1257,Calderón Vega 2002,Calderón Vega 2002b,n/a,Toxostama lecontes ,scat,1,,0.70,0.25,n/a,n/a,,n/a,Toxostoma lecontei,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_0109,Calderón Vega 2002,Calderón Vega 2002a,Willet,Catoptrophorus semipalmatus,scat,1,,0.12,0.03,n/a,n/a,,n/a,Tringa semipalmatus,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1255,Calderón Vega 2002,Calderón Vega 2002b,n/a,Catoptrophorus semipalmatus,scat,1,,0.70,0.25,n/a,n/a,,n/a,Tringa semipalmatus,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_1245,Calderón Vega 2002,Calderón Vega 2002a,otros unidentified,n/a,scat,n/a,,3.01,n/a,n/a,n/a,,n/a,unknown,elevated,n/a,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1243,Calderón Vega 2002,Calderón Vega 2002a,Small-scaled lizard,Urosaurus nigricaudus,scat,1,,0.12,0.03,n/a,n/a,,n/a,Urosaurus nigricaudus,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1244,Calderón Vega 2002,Calderón Vega 2002a,Common side-blotched lizard,Uta stanburiana,scat,1,,0.12,0.03,n/a,n/a,,n/a,Uta stanburiana,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_0139,Calderón Vega 2002,Calderón Vega 2002a,n/a,Hymenoptera Vespidae,scat,57,,6.86,1.89,n/a,n/a,,n/a,Vespidae,unique,not described,,,,,Tabla 4 FO; Tabla 6 FR,calculated and rounded to two decimal points
int_1294,Calderón Vega 2002,Calderón Vega 2002b,n/a,Hymenoptera Vespidae,scat,9,,5.60,2.27,n/a,n/a,,n/a,Vespidae,unique,not described,,,,,Tabla 5 FO; Tabla 7 FR,calculated and rounded to two decimal points
int_1307,Calderón Vega 2002,Calderón Vega 2002b,n/a,Amphispiza belinsata,scat,1,,0.70,0.25,n/a,n/a,,n/a,Amphispiza bilineata,unique,,,,,,Tabla 7 FR,calculated and rounded to two decimal points; not in Tabla 5; FR based on Tabla 7
int_0192,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,n/a,Acalypha sp.,scat,4,,7.69,4.94,n/a,n/a,,n/a,Acalypha,,not described,n/a,n/a,n/a,n/a,Cuadra 3,
int_0193,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,n/a,Artrópodos,scat,18,,34.62,22.22,n/a,n/a,,n/a,Arthropoda,,not described,n/a,n/a,n/a,n/a,Cuadra 3,
int_0194,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,n/a,Aves,scat,6,,11.54,7.41,n/a,n/a,,n/a,Aves,,not described,n/a,n/a,n/a,n/a,Cuadra 3,
int_0195,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,cardboard,n/a,scat,n/a,,n/a,n/a,n/a,n/a,,n/a,Fiber,,n/a,n/a,n/a,n/a,n/a,,
int_0191,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,Material no alimentio,n/a,scat,13,,25.00,16.05,n/a,n/a,,n/a,human-influenced,,n/a,n/a,n/a,n/a,n/a,Cuadra 3,
int_1198,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,no identificados,Mamíferos,scat,1,,1.92,1.23,n/a,n/a,,n/a,Mammalia,,not described,n/a,n/a,n/a,n/a,Cuadra 3,
int_0198,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,n/a,Neotoma mexicana,scat,3,,5.77,3.70,n/a,n/a,,n/a,Neotoma mexicana,,not described,n/a,n/a,n/a,n/a,Cuadra 3,
int_0199,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,n/a,Opuntia sp.,scat,8,,15.38,11.11,n/a,n/a,,n/a,Opuntia,,not described,n/a,n/a,n/a,n/a,Cuadra 3,
int_0200,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,n/a,Passiflora subpeltata,scat,9,,17.31,9.88,n/a,n/a,,n/a,Passiflora subpeltata,,not described,n/a,n/a,n/a,n/a,Cuadra 3,
int_0201,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,n/a,Peromyscus gratus,scat,3,,5.77,3.70,n/a,n/a,,n/a,Peromyscus gratus,,not described,n/a,n/a,n/a,n/a,Cuadra 3,
int_0202,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,n/a,Phoenix canariensis,scat,4,,7.69,4.94,n/a,n/a,,n/a,Phoenix canariensis,,not described,n/a,n/a,n/a,n/a,Cuadra 3,
int_0203,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,n/a,Phytolacca icosandra,scat,3,,5.77,3.70,n/a,n/a,,n/a,Phytolacca icosandra,,not described,n/a,n/a,n/a,n/a,Cuadra 3,
int_1197,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,materia vegetal variada,Plantas,scat,4,,7.69,4.94,n/a,n/a,,n/a,Plantae,,not described,n/a,n/a,n/a,n/a,Cuadra 3,
int_0196,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,candy wrappers,n/a,scat,n/a,,n/a,n/a,n/a,n/a,,n/a,Plastic,,n/a,n/a,n/a,n/a,n/a,,
int_0204,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,Plastic,n/a,scat,n/a,,n/a,n/a,n/a,n/a,,n/a,Plastic,,n/a,n/a,n/a,n/a,n/a,,
int_0197,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,chewing gum,n/a,scat,n/a,,n/a,n/a,n/a,n/a,,n/a,Processed food,,n/a,n/a,n/a,n/a,n/a,,
int_1195,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,n/a,Sorex saussurei,scat,1,,1.92,1.23,n/a,n/a,,n/a,Sorex saussurei,,not described,n/a,n/a,n/a,n/a,Cuadra 3,
int_1196,Castellanos Morales et al. 2008,Castellanos Morales et al. 2008,n/a,Sylvilagus floridanus,scat,1,,1.92,1.23,n/a,n/a,,n/a,Sylvilagus floridanus,,not described,n/a,n/a,n/a,n/a,Cuadra 3,
int_1424,Castellanos-Amador 2009,Castellanos-Amador 2009,n/a,Prosopis levigata,scat,,,57,,,,,n/a,Prosopis laevigata,unique,,,,,,from text page 10 of Rivera Bañuelos 2016,
int_1425,Castellanos-Amador 2009,Castellanos-Amador 2009,n/a,Karwinskia humboldtiana,scat,,,54,,,,,n/a,Karwinskia humboldtiana,unique,,,,,,from text page 10 of Rivera Bañuelos 2016,
int_1426,Castellanos-Amador 2009,Castellanos-Amador 2009,n/a,Peromyscus melanotis,scat,,,30,,,,,n/a,Peromyscus melanotis,unique,,,,,,from text page 10 of Rivera Bañuelos 2016,
int_1427,Castellanos-Amador 2009,Castellanos-Amador 2009,n/a,Neotoma mexicana,scat,,,22.2,,,,,n/a,Neotoma mexicana,unique,,,,,,from text page 10 of Rivera Bañuelos 2016,
int_1428,Castellanos-Amador 2009,Castellanos-Amador 2009,n/a,insectos,scat,,,13,,,,,n/a,Insecta,unique,,,,,,,
int_1429,Castellanos-Amador 2009,Castellanos-Amador 2009,n/a,aves,scat,,,trace,,,,,n/a,Aves,unique,,,,,,,
int_1430,Castellanos-Amador 2009,Castellanos-Amador 2009,n/a,reptiles,scat,,,trace,,,,,n/a,Reptilia,unique,,,,,,,
int_1365,Castillo Picazo 2008,Castillo Picazo 2008a,Rata arrocera,Oryzomis couesi,scat,14,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Oryzomys couesi,unique,,,,,,Anexo 4; Anexo 2,"abril, julio; VIA extracted from Figura 9 "
int_1366,Castillo Picazo 2008,Castillo Picazo 2008a,Ratón,Reithrodontomys sumichtrasi,scat,12,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Reithrodontomys sumichrasti,unique,,,,,,Anexo 4; Anexo 2,"febrero, abril; VIA extracted from Figura 9 "
int_1367,Castillo Picazo 2008,Castillo Picazo 2008a,Ardilla gris,Sciurus aureogaster ,scat,6,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Sciurus aureogaster ,unique,,,,,,Anexo 4; Anexo 2,abril; VIA extracted from Figura 9 
int_1368,Castillo Picazo 2008,Castillo Picazo 2008a,n/a,Rodentia ,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Rodentia ,elevated,,,,,,page 30,VIA extracted from Figura 9
int_1369,Castillo Picazo 2008,Castillo Picazo 2008a,Biznaguita de chilito,Mammillaria magnimmama,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Mammillaria magnimamma,unique,fruit; seed,,,,,Anexo 4,VIA extracted from Figura 9
int_1370,Castillo Picazo 2008,Castillo Picazo 2008a,Nopal de tuna colorada,Opuntia streptacantha,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Opuntia streptacantha,unique,fruit; seed,,,,,Anexo 4,VIA extracted from Figura 9
int_1371,Castillo Picazo 2008,Castillo Picazo 2008a,Nopal de tuna fina,Opuntia megacantha,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Opuntia ficus-indica,unique,fruit; seed,,,,,Anexo 4,VIA extracted from Figura 9
int_1372,Castillo Picazo 2008,Castillo Picazo 2008a,"Carricillo, Cóngora",Phytolacca icosandra,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Phytolacca icosandra,unique,fruit; seed,,,,,Anexo 4,VIA extracted from Figura 9
int_1373,Castillo Picazo 2008,Castillo Picazo 2008a,Capulín,Prunus serothina,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Prunus serotina,unique,fruit; seed,,,,,Anexo 4,VIA extracted from Figura 9
int_1374,Castillo Picazo 2008,Castillo Picazo 2008a,Encino,Quercus sp.,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Quercus,unique,,,,,,Anexo 4,VIA extracted from Figura 9
int_1375,Castillo Picazo 2008,Castillo Picazo 2008a,n/a,Smilax sp. ,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Smilax,unique,seed,,,,,Anexo 4,VIA extracted from Figura 9
int_1376,Castillo Picazo 2008,Castillo Picazo 2008a,Geranio,Geranium sp. ,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Geranium,unique,seed,,,,,Anexo 4,VIA extracted from Figura 9
int_1377,Castillo Picazo 2008,Castillo Picazo 2008a,Pastos,Gramineae,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Poaceae,unique,,,,,,Anexo 4,VIA extracted from Figura 9
int_1378,Castillo Picazo 2008,Castillo Picazo 2008a,n/a,Solanaceae,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Solanaceae,unique,fruit; seed,,,,,Anexo 4,VIA extracted from Figura 9
int_1379,Castillo Picazo 2008,Castillo Picazo 2008a,semillas no identificadas 1,n/a,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Plantae,elevated,,,,,,page 30,VIA extracted from Figura 9
int_1380,Castillo Picazo 2008,Castillo Picazo 2008a,semillas no identificadas 2,n/a,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Plantae,elevated,,,,,,page 30,VIA extracted from Figura 9
int_1381,Castillo Picazo 2008,Castillo Picazo 2008a,Lagartija de collar,Sceloporus torquatus,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Sceloporus torquatus,unique,,,,,,Anexo 4,VIA extracted from Figura 9
int_1382,Castillo Picazo 2008,Castillo Picazo 2008a,Chapulín,Acrididae,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Acrididae,unique,,,,,,Anexo 4,VIA extracted from Figura 9
int_1383,Castillo Picazo 2008,Castillo Picazo 2008a,Abeja,Apidae,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Apidae,unique,,,,,,Anexo 4,VIA extracted from Figura 9
int_1384,Castillo Picazo 2008,Castillo Picazo 2008a,n/a,Carabidae,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Carabidae,unique,,,,,,Anexo 4,VIA extracted from Figura 9
int_1385,Castillo Picazo 2008,Castillo Picazo 2008a,n/a,Chrysomelidae,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Chrysomelidae,unique,,,,,,Anexo 4,VIA extracted from Figura 9
int_1386,Castillo Picazo 2008,Castillo Picazo 2008a,Hormiga,Formicidae,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Formicidae,unique,,,,,,Anexo 4,VIA extracted from Figura 9
int_1387,Castillo Picazo 2008,Castillo Picazo 2008a,n/a,Melolonthidae,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Melolonthinae,unique,,,,,,Anexo 4,VIA extracted from Figura 9
int_1388,Castillo Picazo 2008,Castillo Picazo 2008a,n/a,Scarabaeidae,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Scarabaeidae,unique,,,,,,Anexo 4,VIA extracted from Figura 9
int_1389,Castillo Picazo 2008,Castillo Picazo 2008a,n/a,Tipulidae,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Tipulidae,unique,,,,,,Anexo 4,VIA extracted from Figura 9
int_1390,Castillo Picazo 2008,Castillo Picazo 2008a,Ciempiés,Scolopendromorpha,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Scolopendromorpha,unique,,,,,,Anexo 4,VIA extracted from Figura 9
int_1391,Castillo Picazo 2008,Castillo Picazo 2008a,a nivel de Clase,aves,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Aves,unique,,,,,,page 30,VIA extracted from Figura 9
int_1392,Castillo Picazo 2008,Castillo Picazo 2008a,no identificado,Mamifeo,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Mammalia,elevated,,,,,,page 30,VIA extracted from Figura 9
int_1393,Castillo Picazo 2008,Castillo Picazo 2008a,desechos de orig en antropogénico,n/a,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Human-Influenced,unique,,,,,,page 30,VIA extracted from Figura 9
int_1394,Castillo Picazo 2008,Castillo Picazo 2008a,Materia vegetal no identificada ,n/a,scat,,,calculated not provided ,calculated not provided ,calculated not provided ,n/a,,n/a,Plantae,elevated,,,,,,page 30,VIA extracted from Figura 9
