interaction_id,source_id,pop_id,ReportedCommonName,ReportedScientificName,method,count_sample,count_dietitems,percent_FO,percent_relativeFO,percent_weight,percent_volume,via,percent_IV,HarmonizedScientificName,study_specificity,life-stage,winter,spring,summer,autumn,location_of_interaction,notes
int_0047,Alexander et al. 1994,Alexander et al. 1994,moss,n/a,scat,n/a,,,n/a,n/a,n/a,,n/a,Bryophyta,unique,,,,,,Table 1; page 97 - 101 text,
int_0025,Alexander et al. 1994,Alexander et al. 1994,Incense cedar,Calocedrus decurrens (leaves),scat,n/a,,,n/a,n/a,n/a,,n/a,Calocedrus decurrens,unique,,,,,,Table 1; page 97 - 101 text,
int_0026,Alexander et al. 1994,Alexander et al. 1994,Carpenter ant,Camponotus,scat,n/a,,,n/a,n/a,n/a,,n/a,Camponotus,unique,,,,,,Table 1; page 97 - 101 text,
int_0027,Alexander et al. 1994,Alexander et al. 1994,Ground beetle,Carabidae spp.,scat,n/a,,,n/a,n/a,n/a,,n/a,Carabidae,elevated,,,,,,Table 1; page 97 - 101 text,
int_0051,Alexander et al. 1994,Alexander et al. 1994,rocks,n/a,scat,n/a,,,n/a,n/a,n/a,,n/a,debris,unique,,,,,,Table 1; page 97 - 101 text,
int_0030,Alexander et al. 1994,Alexander et al. 1994,Fly,Diptera,scat,n/a,,,n/a,n/a,n/a,,n/a,Diptera,unique,,,,,,Table 1; page 97 - 101 text,
int_0031,Alexander et al. 1994,Alexander et al. 1994,Bald-faced hornet,Dolichovespula,scat,n/a,,,n/a,n/a,n/a,,n/a,Dolichovespula,unique,,,,,,Table 1; page 97 - 101 text,
int_0032,Alexander et al. 1994,Alexander et al. 1994,Desert stink beetles,Eleodes,scat,n/a,,,n/a,n/a,n/a,,n/a,Eleodes,unique,,,,,,Table 1; page 97 - 101 text,
int_0033,Alexander et al. 1994,Alexander et al. 1994,Western alligator lizard,Elgaria (skin),scat,n/a,,,n/a,n/a,n/a,,n/a,Elgaria,unique,,,,,,Table 1; page 97 - 101 text,
int_0034,Alexander et al. 1994,Alexander et al. 1994,Domestic cat,Felis catus,scat,n/a,,,n/a,n/a,n/a,,n/a,Felis catus,unique,,,,,,Table 1; page 97 - 101 text,
int_0035,Alexander et al. 1994,Alexander et al. 1994,Shallal,Gaultheria shallon,scat,n/a,,,n/a,n/a,n/a,,n/a,Gaultheria shallon,unique,fruit,,,,,Table 1; page 97 - 101 text,
int_0036,Alexander et al. 1994,Alexander et al. 1994,Northern flying squirrel,Glaucomys sabrinus,scat,n/a,,,n/a,n/a,n/a,,n/a,Glaucomys sabrinus,unique,,,,,,Table 1; page 97 - 101 text,
int_0037,Alexander et al. 1994,Alexander et al. 1994,Darkling beetle,Helops,scat,n/a,,,n/a,n/a,n/a,,n/a,Helops,unique,,,,,,Table 1; page 97 - 101 text,
