MonthYear,Season,ID_Complete,Latrine_Type,Latrine_Site,Latrine_Name,Segment_ID,Fragment_ID,Fragment_Type,Fragment_Description,Fragment_Weight,Common_Name,Reported_Name,Scientific_Name,Taxonomic_Level,Kingdom,Phylum,Class,Order,Family,Genus,Species,Photo
Nov2020,Winter,X,Building,ZL6_Nov2020,ZL6_Nov2021,ZL6_S4_Nov2020,ZL6_S4_F1_Nov2020,Vertebrate,Bone,0.0116,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1NaJez3afWf_7x5sBm5kBJA0qTz0XVsd2/view?usp=sharing
July2019,Summer,,Natural,Kolob_Canyon_July2019,S3,S3_S01_July2019,S3_S01_F1_July2019,Vertebrate,Bone,0.1804,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1Q7LeALfZNkIW2r8_9IEmh64rMmSusFxF/view?usp=sharing
Nov2020,Winter,X,Natural,SP_HQ_NL6_Nov2020,SP_HQ_NL6_Nov2021,SP_HQ_NL6_S1_Nov2020,SP_HQ_NL6_S1_F2_Nov2020,Vertebrate,Teeth,0.5257,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,https://drive.google.com/file/d/1Ny9DrB8spYXy8fbVQkIB1ARuqzPurErf/view?usp=sharing
Nov2020,Winter,X,Natural,SP_HQ_NL6_Nov2020,SP_HQ_NL6_Nov2021,SP_HQ_NL6_S2_Nov2020,SP_HQ_NL6_S2_F3.3_Nov2020,Vertebrate,Bone,0.1229,Unknown Vertebrate,Chordata,,Phylum,Animalia,Chordata,n/a,n/a,n/a,n/a,n/a,
July2019,Summer,X,Building,MY_Delivery_July2019,S11,S11_S09_July2019,S11_S09_F3_July2019,Plant,Seeds,0.052,Pricklypear,Opuntia,,Species,Plantae,n/a,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia engelmannii,https://drive.google.com/file/d/14KyCb_1G5BQHjkCaS94PiIDdmK47N_FM/view?usp=sharing
July2019,Summer,X,Building,MY_Signshop_July2019,S6,S6_S02_July2019,S6_S02_F1_July2019,Plant,Seeds,0.1832,Pricklypear,Opuntia,,Species,Plantae,n/a,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia engelmannii,https://drive.google.com/file/d/1MsXvrgr5RWKQ1RFk_Xcmis25nk7yv5fG/view?usp=sharing
July2019,Summer,X,Building,MY_Signshop_July2019,S6,S6_S06_July2019,S6_S06_F2_July2019,Plant,Seeds,0.1731,Manzanita,Arctostaphylos,,Species,Plantae,n/a,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,n/a,https://drive.google.com/file/d/13c4O6AEOCPAuld8Oe3-Xe2IR7khd7Ayw/view?usp=sharing
Jan2021,Winter,X,Building,Dungeon3_Jan2021,Dungeon3,Dungeon3_S1_Jan2021,Dungeon3_S1_F2_Jan2021,Invertebrate,Arthropod,0.0047,Western conifer seed bug,Leptoglossus Occidentalis,,Species,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus,Occidentalis,https://drive.google.com/file/d/1GfaIx8C9Tol4fIiQa7p-Q_ytvKOKVC7P/view?usp=sharing
Nov2020,Winter,X,Building,MY3_Nov2020,MY3_Nov2021,MY3_S1_Nov2020,MY3_S1_F3_Nov2020,Invertebrate,Arthropod,0.0037,Western conifer seed bug,Leptoglossus Occidentalis,,Species,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus,Occidentalis,https://drive.google.com/file/d/1Mpg6TTFzueVAksj_hgmQEEjkE9Cd5FEl/view?usp=sharing
Jan2021,Winter,X,Building,MY4_Jan2021,MY4_Jan2021,MY4_S2_Jan2021,MY4_S2_F4_Jan2021,Plant,Seeds,0.0112,Chokecherry,Prunus virginiana,,Species,Plantae,n/a,Magnoliopsida,Rosales,Rosaceae,Prunus,Virginiana,https://drive.google.com/file/d/1e1uUwgULCTFAGPlbJ9taAxz3DHbcBTzE/view?usp=sharing
Nov2020,Winter,X,Building,MY6_Nov2020,MY6_Nov2021,MY6_S5_Nov2020,MY6_S5_F2.2_Nov2020,Plant,Seeds,0.0051,Pricklypear,Opuntia,,Species,Plantae,n/a,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia engelmannii,https://drive.google.com/file/d/1xGsJZOIWveYwvvWGBvYo6D7XA0NdzMvy/view?usp=sharing
Nov2020,Winter,X,Building,MY6_Nov2020,MY6_Nov2021,MY6_S5_Nov2020,MY6_S5_F2.3_Nov2020,Plant,Seeds,0.2187,Manzanita,Arctostaphylos,,Species,Plantae,n/a,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,n/a,https://drive.google.com/file/d/1vmSDvJjpJsfpC5nPPIdz3jGeXc6-Lv0Z/view?usp=sharing
Nov2020,Winter,X,Building,MY6_Nov2020,MY6_Nov2021,MY6_S9_Nov2020,MY6_S9_F1_Nov2020,Plant,seeds,0.0784,Manzanita,Arctostaphylos,,Species,Plantae,n/a,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,n/a,https://drive.google.com/file/d/1ZhBNcH7yFsNTTXrk_5FFPhX5vNGWI-hE/view?usp=sharing
Jan2021,Winter,X,Building,RW_Jan2021,RW,RW_S2_Jan2021,RW_S2_F5_Jan2021,Plant,Seeds,0.0097,Chokeberry,Prunus virginiana,,Species,Plantae,,Magnoliopsida,Rosales,Rosaceae,Prunus,Virginiana,"https://drive.google.com/file/d/1bsUjF5EaJtAhGj25XEvIkTyEyWIPDn1V/view?usp=sharing, https://drive.google.com/file/d/1l_zrHm7KMuXckRdF77HIDvsNZUvQ_Okd/view?usp=sharing"
Nov2020,Winter,X,Building,ZL1_Nov2020,ZL1_Nov2021,ZL1_S4_Nov2020,ZL1_S4_F1_Nov2020,Plant,Seeds,0.0169,Pricklypear,Opuntia,,Species,Plantae,n/a,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia engelmannii,https://drive.google.com/file/d/1zJ0heZkDjl2mMRtSzUzpmEO31976PPmQ/view?usp=sharing
Nov2020,Winter,X,Building,ZL2_Nov2020,ZL2_Nov2021,ZL2_S1_Nov2020,ZL2_S1_F1_Nov2020,Plant,Seeds,0.0135,Pricklypear,Opuntia,,Species,Plantae,n/a,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,Opuntia engelmannii,https://drive.google.com/file/d/1K6ZqSSo5BQ3Pc-V7Cw5YP4YHhV0l5_mT/view?usp=sharing
Nov2020,Winter,,Building,ZL2_Nov2020,ZL2_Nov2021,ZL2_S2_Nov2020,ZL2_S2_F1_Nov2020,Plant,Seeds,0.0008,Thysanocarpus curvipes,Plantae,,Species,Plantae,n/a,Magnoliopsida,Brassicales,Brassicaceae,Thysanocarpus,Thysanocarpus curvipes,https://drive.google.com/file/d/11iz4IJ2lhdyioP0eT1NgpEsyKFdZVSPr/view?usp=sharing
